stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,bt_id
0411,0411,MINNESOTA & 26TH AVENUE NNE,61.197666,-149.912798,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1743,1743
0423,0423,9TH AVENUE & INGRA ESE,61.213554,-149.865281,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1744,1744
0424,0424,9TH AVENUE & KARLUK ESE,61.213578,-149.861597,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1745,1745
0425,0425,LATOUCHE & 10TH AVENUE SSW,61.212474,-149.860969,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1746,1746
0426,0426,MEDFRA & 12TH AVENUE SSW,61.210393,-149.858863,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1747,1747
0427,0427,MEDFRA & 14TH AVENUE NNW,61.208836,-149.858905,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1748,1748
0429,0429,CHUGACH VIEW,61.204812,-149.857968,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1749,1749
0434,0434,15TH AVENUE & MEDFRA ESE,61.207574,-149.858185,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1750,1750
0437,0437,DEBARR & CHARTER CIR WSW,61.207698,-149.835557,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1751,1751
0438,0438,ALASKA REGIONAL HOSPITAL S,61.210132,-149.82634,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1752,1752
0441,0441,PENLAND PKWY & PAUL LALONE ESE,61.215405,-149.820955,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1753,1753
0442,0442,PENLAND PKWY & KIDS CT ESE,61.215499,-149.817183,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1754,1754
0443,0443,PENLAND PKWY & NORTHWAY ESE,61.215685,-149.812126,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1755,1755
0447,0447,DEBARR & BRAGAW ESE,61.209575,-149.80723,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1758,1758
0448,0448,DEBARR & HOYT ESE,61.209581,-149.799486,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1759,1759
0449,0449,DEBARR & PINE WSW,61.209583,-149.793936,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1760,1760
0450,0450,DEBARR & L SELKREGG WSW,61.209582,-149.786848,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1761,1761
0451,0451,DEBARR & BONIFACE WSW,61.209649,-149.779258,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1762,1762
0452,0452,DEBARR & BONIFACE ESE,61.209635,-149.775917,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1763,1763
0453,0453,DEBARR & BUCKNER ESE,61.209592,-149.771054,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1764,1764
0454,0454,DEBARR & ATKINSON ESE,61.209594,-149.766396,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1765,1765
0467,0467,TUDOR & BAXTER WNW,61.180919,-149.764611,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1778,1778
0479,0479,PROVIDENCE & ELMORE WSW,61.188672,-149.810993,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1779,1779
0501,0501,DEBARR & NUNAKA ENE,61.209833,-149.768476,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1791,1791
0502,0502,DEBARR & BONIFACE ENE,61.209831,-149.774585,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1792,1792
0503,0503,DEBARR & BONIFACE WNW,61.209853,-149.77975,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1793,1793
0504,0504,DEBARR & L SELKREGG WNW,61.209822,-149.786999,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1794,1794
0505,0505,DEBARR & PINE WNW,61.209826,-149.79462,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1795,1795
0506,0506,DEBARR & HOYT WNW,61.209818,-149.800893,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1796,1796
0507,0507,DEBARR & BRAGAW ENE,61.209817,-149.805476,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1797,1797
